# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.7955882065610285,7.0,0.06276258480126284,0,3.0,0.1322875539897668,0.0,0.0,0.0
 0.10477139731142539,1.8120537652241369,7.000018036606606,0.06276258480126284,0.31431419193427623,3.0000000000000004,0.1322875539897668,0.0,2.8755772308948018,0.0
 0.1481754885148642,1.8285220715255486,7.0000719505904145,0.18757440119355284,0.44452646554459263,2.999999999999999,0.1311408178091751,0.0,3.7152061107173378,0.0
 0.1814847051231925,1.8449929125713254,7.000161448197416,0.3113250062800216,0.5444541153695776,3.0,0.12999999091699305,0.0,4.36877776700387,0.0
 0.209568895314234,1.861466075467529,7.000286235673602,0.4340185919909519,0.6287066859427021,3.000000000000001,0.1288650280759847,0.0,4.915705892242691,0.0
 0.2343142184916201,1.87794134732022,7.000446019264961,0.5556593229394783,0.7029426554748603,3.0,0.12773588284152987,0.0,5.389895962764615,0.0
 0.2566879365431578,1.8944185152354605,7.000640505217484,0.6762513355374952,0.7700638096294735,3.0000000000000027,0.12661250726560772,0.0,5.80985416437479,0.0
 0.2772645978761301,1.9108973663193114,7.000869399777157,0.795798737071794,0.8317937936283903,2.9999999999999947,0.12549485217707207,0.0,6.187082002047562,0.0
 0.29641851692199744,1.9273776876778348,7.001132409189973,0.9143056048691558,0.8892555507659924,3.000000000000003,0.12438286727577424,0.0,6.529342805578272,0.0
 0.3144096661132403,1.9438592664170917,7.00142923970192,1.0317759854050825,0.943228998339721,3.000000000000003,0.12327650092872848,0.0,6.8421881646633995,0.0
 0.3314273080273506,1.9603418896431435,7.001759597558991,1.148213893500288,0.9942819240820518,2.999999999999997,0.12217570030917699,0.0,7.129761917794697,0.0
 0.3476143026728713,1.9768253444620514,7.002123189007171,1.2636233114874682,1.042842908018614,2.9999999999999964,0.12108041159290896,0.0,7.395261449658412,0.0
 0.363081622894144,1.9933094179798772,7.002519720292452,1.378008188449368,1.0892448686824319,2.9999999999999964,0.11999057969944832,0.0,7.641220034179263,0.0
 0.37791750649169803,2.009793897302682,7.002948897660825,1.4913724394197496,1.133752519475094,2.9999999999999925,0.11890614853869791,0.0,7.869688655582662,0.0
 0.39219348488355493,2.0262785695365277,7.003410427358277,1.603719944617489,1.1765804546506646,3.0,0.11782706090208825,0.0,8.082358004129286,0.0
 0.4059685000548658,2.0427632217874754,7.0039040156308,1.7150545487443356,1.217905500164597,2.999999999999992,0.11675325871762614,0.0,8.280643147468746,0.0
 0.41929180230557755,2.0592476411615865,7.004429368724383,1.825380060228347,1.2578754069167324,3.0,0.11568468251562947,0.0,8.465744011511696,0.0
 0.43220504302750995,2.075731614764922,7.004986192885016,1.9347002505392552,1.2966151290825296,3.0000000000000044,0.11462127221308954,0.0,8.638689635846934,0.0
 0.4447438200287689,2.092214929703544,7.005574194358688,2.0430188534662266,1.3342314600863063,2.999999999999991,0.11356296674234781,0.0,8.800371261026628,0.0
 0.4569388408806681,2.1086973730835137,7.006193079391389,2.150339564498901,1.3708165226420042,3.0000000000000138,0.11250970382277836,0.0,8.951567502720952,0.0
 0.46881681371234707,2.1251787320108924,7.006842554229109,2.2566660400971608,1.406450441137041,3.000000000000005,0.11146142055097408,0.0,9.092963848130719,0.0
 0.4804011396555671,2.1416587935917417,7.0075223251178365,2.362001897103823,1.4412034189667011,3.0,0.11041805290322605,0.0,9.225167944157569,0.0
 0.49171245838761113,2.158137344932123,7.008232098303563,2.466350712076825,1.4751373751628334,3.0000000000000098,0.10937953616985094,0.0,9.348721762727227,0.0
 0.5027690831560855,2.174614173138097,7.008971580032277,2.56971602067217,1.5083072494682566,3.00000000000001,0.10834580450015678,0.0,9.464111385808376,0.0
 0.5135873514764125,2.1910890653157264,7.00974047654997,2.6721013170573076,1.5407620544292375,2.9999999999999796,0.10731679151540892,0.0,9.571774952863771,0.0
 0.5241819106592008,2.2075618085710715,7.010538494102629,2.773510053279753,1.5725457319776024,3.0,0.10629242985080035,0.0,9.672109194235551,0.0
 0.534565952384499,2.2240321900101945,7.011365338936246,2.873945638724335,1.6036978571534968,2.9999999999999893,0.10527265137490428,0.0,9.765474826938952,0.0
 0.5447514070138171,2.2404999967391563,7.012220717296809,2.9734114395078697,1.6342542210414512,3.0000000000000218,0.10425738706520879,0.0,9.852201067870324,0.0
 0.5547491057768813,2.256965015864018,7.0131043354303095,3.071910777937577,1.6642473173306438,2.999999999999989,0.10324656711520269,0.0,9.932589418622712,0.0
 0.5645689170952398,2.273427034490842,7.014015899582736,3.169446931931176,1.6937067512857191,2.9999999999999774,0.10224012122901253,0.0,10.006916879416714,0.0
 0.5742198619114514,2.2898858397256894,7.0149551160000785,3.2660231345148425,1.7226595857343536,2.9999999999999885,0.10123797783172281,0.0,10.075438672870002,0.0
 0.5837102118451397,2.306341218674621,7.015921690928327,3.3616425732557955,1.7511306355354186,2.9999999999999885,0.10024006514687683,0.0,10.1383905885451,0.0
 0.5930475732014637,2.322792958443699,7.01691533061347,3.456308389752596,1.7791427196043907,3.000000000000012,0.09924631021650177,0.0,10.195990996292087,0.0
 0.6022389592470878,2.3392408461389835,7.017935741301498,3.5500236791172237,1.806716877741263,3.0,0.09825663975257416,0.0,10.248442591126498,0.0
 0.6112908526961492,2.355684668866538,7.018982629238402,3.6427914894709237,1.8338725580884472,2.9999999999999876,0.09727097925566673,0.0,10.295933907651788,0.0
